juego_id,TEMPORADA,Zona,Q,P,lnQ,lnP
127401,22-23,Zona Miniso,13,200.0,2.5649493574615367,5.298317366548036
127401,22-23,Zona Pepsi,14,350.0,2.6390573296152584,5.857933154483459
127401,22-23,Zona Sabritas,7,200.0,1.9459101490553132,5.298317366548036
127401,22-23,Zona Toyota,40,350.0,3.6888794541139363,5.857933154483459
127401,22-23,Zona Zapata,20,350.0,2.995732273553991,5.857933154483459
127402,22-23,Banco Azteca,61,170.0,4.110873864173311,5.135798437050262
127402,22-23,Barrera Central,102,125.0,4.624972813284271,4.8283137373023015
127402,22-23,Cancha 1,36,1325.0,3.58351893845611,7.1891677384203225
127402,22-23,Cancha 2,61,1200.0,4.110873864173311,7.090076835776092
127402,22-23,Cancha 3,62,1025.0,4.127134385045092,6.932447891572509
127402,22-23,Cancha Vip 2,22,1200.0,3.091042453358316,7.090076835776092
127402,22-23,Front Row Vip,13,1325.0,2.5649493574615367,7.1891677384203225
127402,22-23,Platea 2,101,255.0,4.61512051684126,5.541263545158426
127402,22-23,Platea Cabecera,187,170.0,5.231108616854587,5.135798437050262
127402,22-23,Platea Cabecera 2,275,128.0,5.616771097666572,4.852030263919617
127402,22-23,Preferente,119,525.0,4.77912349311153,6.263398262591624
127402,22-23,Preferente Cabecera,121,390.0,4.795790545596741,5.966146739123692
127402,22-23,Preferente Central,245,525.0,5.501258210544727,6.263398262591624
127402,22-23,Preferente Fondo,137,390.0,4.919980925828125,5.966146739123692
127402,22-23,Preferente Tunel,194,525.0,5.267858159063328,6.263398262591624
127402,22-23,Zona Boing,62,300.0,4.127134385045092,5.703782474656201
127402,22-23,Zona Elektra,7,300.0,1.9459101490553132,5.703782474656201
127402,22-23,Zona Mercado libre,72,300.0,4.276666119016055,5.703782474656201
127402,22-23,Zona Miniso,50,170.0,3.912023005428146,5.135798437050262
127402,22-23,Zona Pepsi,68,300.0,4.219507705176107,5.703782474656201
127402,22-23,Zona Sabritas,62,170.0,4.127134385045092,5.135798437050262
127402,22-23,Zona Toyota,57,300.0,4.04305126783455,5.703782474656201
127402,22-23,Zona Zapata,14,300.0,2.6390573296152584,5.703782474656201
127403,22-23,Cancha 1,37,1550.0,3.6109179126442243,7.346010209913293
127403,22-23,Cancha 2,46,1400.0,3.828641396489095,7.24422751560335
127403,22-23,Cancha 3,73,1200.0,4.290459441148391,7.090076835776092
127403,22-23,Cancha Vip 2,11,1400.0,2.3978952727983707,7.24422751560335
127403,22-23,Cancha Vip 3,8,600.0,2.0794415416798357,6.396929655216146
127403,22-23,Front Row Vip,12,1550.0,2.4849066497880004,7.346010209913293
127403,22-23,Platea 2,212,300.0,5.356586274672012,5.703782474656201
127403,22-23,Platea Cabecera,135,200.0,4.90527477843843,5.298317366548036
127403,22-23,Platea Cabecera 2,355,75.0,5.872117789475416,4.31748811353631
127403,22-23,Preferente,114,600.0,4.736198448394496,6.396929655216146
127403,22-23,Preferente Cabecera,96,450.0,4.564348191467836,6.1092475827643655
127403,22-23,Preferente Central,214,600.0,5.365976015021851,6.396929655216146
127403,22-23,Preferente Fondo,54,450.0,3.9889840465642745,6.1092475827643655
127403,22-23,Preferente Tunel,141,450.0,4.948759890378168,6.1092475827643655
127403,22-23,Zona Boing,65,350.0,4.174387269895637,5.857933154483459
127403,22-23,Zona Elektra,68,350.0,4.219507705176107,5.857933154483459
127403,22-23,Zona Mercado libre,73,350.0,4.290459441148391,5.857933154483459
127403,22-23,Zona Pepsi,69,350.0,4.23410650459726,5.857933154483459
127403,22-23,Zona Sabritas,59,200.0,4.07753744390572,5.298317366548036
127403,22-23,Zona Toyota,40,350.0,3.6888794541139363,5.857933154483459
127403,22-23,Zona Zapata,76,350.0,4.330733340286331,5.857933154483459
127404,22-23,Cancha 1,34,1325.0,3.5263605246161616,7.1891677384203225
127404,22-23,Cancha 2,42,1200.0,3.7376696182833684,7.090076835776092
127404,22-23,Cancha 3,35,1025.0,3.5553480614894135,6.932447891572509
127404,22-23,Front Row Vip,8,1325.0,2.0794415416798357,7.1891677384203225
127404,22-23,Platea 2,48,255.0,3.871201010907891,5.541263545158426
127404,22-23,Platea Cabecera,82,170.0,4.406719247264253,5.135798437050262
